Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
46,No,Travel_Rarely,705,Sales,2 years ,4,Marketing,38,Medium,Female,83,High,Director Level,Manager,Low,Single,18947,3,No,12,Stanadard,Very High,80,0,22 years ,Good,2,2,2,1
33,No,Travel_Rarely,924,Research & Development,2 years ,3,Medical,39,High,Male,78,High,Entry Level,Laboratory Technician,Very High,Single,2496,4,No,11,Stanadard,Very High,80,0,7 years ,Better,1,1,0,0
44,No,Travel_Rarely,1459,Research & Development,10 years ,4,Other,40,Very High,Male,41,High,Junior Level,Healthcare Representative,Very High,Married,6465,2,Yes,13,Stanadard,Very High,80,0,9 years ,Best,4,2,1,3
30,No,Travel_Rarely,125,Research & Development,9 years ,2,Medical,41,Very High,Male,83,Medium,Entry Level,Laboratory Technician,High,Single,2206,1,No,13,Stanadard,Low,80,0,10 years ,Better,10,0,1,8
39,Yes,Travel_Rarely,895,Sales,5 years ,3,Technical Degree,42,Very High,Male,56,High,Junior Level,Sales Representative,Very High,Married,2086,3,No,14,Stanadard,High,80,1,19 years ,Best,1,0,0,0
24,Yes,Travel_Rarely,813,Research & Development,1 years ,3,Medical,45,Medium,Male,61,High,Entry Level,Research Scientist,Very High,Married,2293,2,Yes,16,Stanadard,Low,80,1,6 years ,Good,2,0,2,0
43,No,Travel_Rarely,1273,Research & Development,2 years ,2,Medical,46,Very High,Female,72,Very High,Entry Level,Research Scientist,High,Divorced,2645,1,No,12,Stanadard,Very High,80,2,6 years ,Good,5,3,1,4
50,Yes,Travel_Rarely,869,Sales,3 years ,2,Marketing,47,Low,Male,86,Medium,Entry Level,Sales Representative,High,Married,2683,1,Yes,14,Stanadard,High,80,0,3 years ,Better,3,2,0,2
35,No,Travel_Rarely,890,Sales,2 years ,3,Marketing,49,Very High,Female,97,High,Entry Level,Sales Representative,Very High,Married,2014,1,No,13,Stanadard,Low,80,0,2 years ,Better,2,2,2,2
36,No,Travel_Rarely,852,Research & Development,5 years ,4,Life Sciences,51,Medium,Female,82,Medium,Entry Level,Research Scientist,Low,Married,3419,9,Yes,14,Stanadard,Very High,80,1,6 years ,Best,1,1,0,0
33,No,Travel_Frequently,1141,Sales,1 years ,3,Life Sciences,52,High,Female,42,Very High,Junior Level,Sales Executive,Low,Married,5376,2,No,19,Stanadard,Low,80,2,10 years ,Better,5,3,1,3
35,No,Travel_Rarely,464,Research & Development,4 years ,2,Other,53,High,Male,75,High,Entry Level,Laboratory Technician,Very High,Divorced,1951,1,No,12,Stanadard,High,80,1,1 years ,Better,1,0,0,0
27,No,Travel_Rarely,1240,Research & Development,2 years ,4,Life Sciences,54,Very High,Female,33,High,Entry Level,Laboratory Technician,Low,Divorced,2341,1,No,13,Stanadard,Very High,80,1,1 years ,Better,1,0,0,0
26,Yes,Travel_Rarely,1357,Research & Development,25 years ,3,Life Sciences,55,Low,Male,48,Low,Entry Level,Laboratory Technician,High,Single,2293,1,No,12,Stanadard,High,80,0,1 years ,Good,1,0,0,1
27,No,Travel_Frequently,994,Sales,8 years ,3,Life Sciences,56,Very High,Male,37,High,Senior Level,Sales Executive,High,Single,8726,1,No,15,Stanadard,Very High,80,0,9 years ,Better,9,8,1,7
30,No,Travel_Frequently,721,Research & Development,1 years ,2,Medical,57,High,Female,58,High,Junior Level,Laboratory Technician,Very High,Single,4011,1,No,23,High,Very High,80,0,12 years ,Better,12,8,3,7
41,Yes,Travel_Rarely,1360,Research & Development,12 years ,3,Technical Degree,58,Medium,Female,49,High,Director Level,Research Director,High,Married,19545,1,No,12,Stanadard,Very High,80,0,23 years ,Better,22,15,15,8
34,No,Non-Travel,1065,Sales,23 years ,4,Marketing,60,Medium,Male,72,High,Junior Level,Sales Executive,High,Single,4568,0,No,20,High,High,80,0,10 years ,Better,9,5,8,7
37,No,Travel_Rarely,408,Research & Development,19 years ,2,Life Sciences,61,Medium,Male,73,High,Entry Level,Research Scientist,Medium,Married,3022,4,No,21,High,Low,80,0,8 years ,Better,1,0,0,0
46,No,Travel_Frequently,1211,Sales,5 years ,4,Marketing,62,Low,Male,98,High,Junior Level,Sales Executive,Very High,Single,5772,4,Yes,21,High,High,80,0,14 years ,Better,9,6,0,8
35,No,Travel_Rarely,1229,Research & Development,8 years ,1,Life Sciences,63,Very High,Male,36,Very High,Entry Level,Laboratory Technician,Very High,Married,2269,1,No,19,Stanadard,Very High,80,0,1 years ,Better,1,0,0,1
48,Yes,Travel_Rarely,626,Research & Development,1 years ,2,Life Sciences,64,Low,Male,98,Medium,Senior Level,Laboratory Technician,High,Single,5381,9,Yes,13,Stanadard,Very High,80,0,23 years ,Better,1,0,0,0
28,Yes,Travel_Rarely,1434,Research & Development,5 years ,4,Technical Degree,65,High,Male,50,High,Entry Level,Laboratory Technician,High,Single,3441,1,Yes,13,Stanadard,High,80,0,2 years ,Good,2,2,2,2
44,No,Travel_Rarely,1488,Sales,1 years ,5,Marketing,68,Medium,Female,75,High,Junior Level,Sales Executive,Low,Divorced,5454,5,Yes,21,High,High,80,1,9 years ,Good,4,3,1,3
35,No,Non-Travel,1097,Research & Development,11 years ,2,Medical,70,High,Male,79,Medium,Senior Level,Healthcare Representative,Low,Married,9884,2,Yes,13,Stanadard,High,80,1,10 years ,Better,4,0,2,3
26,No,Travel_Rarely,1443,Sales,23 years ,3,Marketing,72,High,Female,47,Medium,Junior Level,Sales Executive,Very High,Married,4157,7,Yes,19,Stanadard,High,80,1,5 years ,Good,2,2,0,0
33,No,Travel_Frequently,515,Research & Development,1 years ,2,Life Sciences,73,Low,Female,98,High,Senior Level,Research Director,Very High,Single,13458,1,Yes,12,Stanadard,High,80,0,15 years ,Better,15,14,8,12
35,No,Travel_Frequently,853,Sales,18 years ,5,Life Sciences,74,Medium,Male,71,High,Senior Level,Sales Executive,Low,Married,9069,1,No,22,High,Very High,80,1,9 years ,Good,9,8,1,8
35,No,Travel_Rarely,1142,Research & Development,23 years ,4,Medical,75,High,Female,30,High,Entry Level,Laboratory Technician,Low,Married,4014,3,Yes,15,Stanadard,High,80,1,4 years ,Better,2,2,2,2
31,No,Travel_Rarely,655,Research & Development,7 years ,4,Life Sciences,76,Very High,Male,48,High,Junior Level,Laboratory Technician,Very High,Divorced,5915,3,No,22,High,Very High,80,1,10 years ,Good,7,7,1,7
37,No,Travel_Rarely,1115,Research & Development,1 years ,4,Life Sciences,77,Low,Male,51,Medium,Junior Level,Manufacturing Director,High,Divorced,5993,1,No,18,Stanadard,High,80,1,7 years ,Best,7,5,0,7
32,No,Travel_Rarely,427,Research & Development,1 years ,3,Medical,78,Low,Male,33,High,Junior Level,Manufacturing Director,Very High,Married,6162,1,Yes,22,High,Medium,80,1,9 years ,Better,9,8,7,8
38,No,Travel_Frequently,653,Research & Development,29 years ,5,Life Sciences,79,Very High,Female,50,High,Junior Level,Laboratory Technician,Very High,Single,2406,1,No,11,Stanadard,Very High,80,0,10 years ,Better,10,3,9,9
50,No,Travel_Rarely,989,Research & Development,7 years ,2,Medical,80,Medium,Female,43,Medium,Director Level,Research Director,High,Divorced,18740,5,Yes,12,Stanadard,Very High,80,1,29 years ,Good,27,3,13,8
59,No,Travel_Rarely,1435,Sales,25 years ,3,Life Sciences,81,Low,Female,99,High,Senior Level,Sales Executive,Low,Single,7637,7,No,11,Stanadard,Very High,80,0,28 years ,Good,21,16,7,9
36,No,Travel_Rarely,1223,Research & Development,8 years ,3,Technical Degree,83,High,Female,59,High,Senior Level,Healthcare Representative,High,Divorced,10096,1,No,13,Stanadard,Medium,80,3,17 years ,Better,17,14,12,8
55,No,Travel_Rarely,836,Research & Development,8 years ,3,Medical,84,Very High,Female,33,High,Lead Level,Manager,High,Divorced,14756,2,Yes,14,Stanadard,High,80,3,21 years ,Better,5,0,0,2
36,No,Travel_Frequently,1195,Research & Development,11 years ,3,Life Sciences,85,Medium,Male,95,Medium,Junior Level,Manufacturing Director,Medium,Single,6499,1,No,13,Stanadard,High,80,0,6 years ,Better,6,5,0,3
45,No,Travel_Rarely,1339,Research & Development,7 years ,3,Life Sciences,86,Medium,Male,59,High,Senior Level,Research Scientist,Low,Divorced,9724,2,No,17,Stanadard,High,80,1,25 years ,Better,1,0,0,0
35,No,Travel_Frequently,664,Research & Development,1 years ,3,Medical,88,Medium,Male,79,High,Entry Level,Research Scientist,Low,Married,2194,4,No,13,Stanadard,Very High,80,1,5 years ,Good,3,2,1,2
36,Yes,Travel_Rarely,318,Research & Development,9 years ,3,Medical,90,Very High,Male,79,Medium,Entry Level,Research Scientist,High,Married,3388,0,Yes,17,Stanadard,Low,80,1,2 years ,Good,1,0,0,0
59,No,Travel_Frequently,1225,Sales,1 years ,1,Life Sciences,91,Low,Female,57,Medium,Junior Level,Sales Executive,High,Single,5473,7,No,11,Stanadard,Very High,80,0,20 years ,Good,4,3,1,3
29,No,Travel_Rarely,1328,Research & Development,2 years ,3,Life Sciences,94,High,Male,76,High,Entry Level,Research Scientist,Medium,Married,2703,0,No,23,High,Very High,80,1,6 years ,Better,5,4,0,4
31,No,Travel_Rarely,1082,Research & Development,1 years ,4,Medical,95,High,Male,87,High,Entry Level,Research Scientist,Medium,Single,2501,1,No,17,Stanadard,Medium,80,0,1 years ,Better,1,1,1,0
32,No,Travel_Rarely,548,Research & Development,1 years ,3,Life Sciences,96,Medium,Male,66,High,Junior Level,Research Scientist,Medium,Married,6220,1,No,17,Stanadard,Medium,80,2,10 years ,Better,10,4,0,9
36,No,Travel_Rarely,132,Research & Development,6 years ,3,Life Sciences,97,Medium,Female,55,Very High,Entry Level,Laboratory Technician,Very High,Married,3038,3,No,12,Stanadard,Medium,80,0,5 years ,Better,1,0,0,0
31,No,Travel_Rarely,746,Research & Development,8 years ,4,Life Sciences,98,High,Female,61,High,Junior Level,Manufacturing Director,Very High,Single,4424,1,No,23,High,Very High,80,0,11 years ,Better,11,7,1,8
35,No,Travel_Rarely,776,Sales,1 years ,4,Marketing,100,High,Male,32,Medium,Junior Level,Sales Executive,Low,Single,4312,0,No,14,Stanadard,Medium,80,0,16 years ,Better,15,13,2,8
45,No,Travel_Rarely,193,Research & Development,6 years ,4,Other,101,Very High,Male,52,High,Senior Level,Research Director,Low,Married,13245,4,Yes,14,Stanadard,Medium,80,0,17 years ,Best,0,0,0,0
37,No,Travel_Rarely,397,Research & Development,7 years ,4,Medical,102,Low,Male,30,High,Senior Level,Research Director,High,Single,13664,4,No,13,Stanadard,Low,80,0,16 years ,Best,5,2,0,2
46,No,Travel_Rarely,945,Human Resources,5 years ,2,Medical,103,Medium,Male,80,High,Junior Level,Human Resources,Medium,Divorced,5021,8,Yes,22,High,Very High,80,1,16 years ,Better,4,2,0,2
30,No,Travel_Rarely,852,Research & Development,1 years ,1,Life Sciences,104,Very High,Male,55,Medium,Junior Level,Laboratory Technician,Very High,Married,5126,1,Yes,12,Stanadard,High,80,2,10 years ,Good,10,8,3,0
35,No,Travel_Rarely,1214,Research & Development,1 years ,3,Medical,105,Medium,Male,30,Medium,Entry Level,Research Scientist,High,Single,2859,1,No,18,Stanadard,Low,80,0,6 years ,Better,6,4,0,4
55,No,Travel_Rarely,111,Sales,1 years ,2,Life Sciences,106,Low,Male,70,High,Senior Level,Sales Executive,Very High,Married,10239,3,No,14,Stanadard,Very High,80,1,24 years ,Better,1,0,1,0
38,No,Non-Travel,573,Research & Development,6 years ,3,Medical,107,Medium,Female,79,Low,Junior Level,Research Scientist,Very High,Divorced,5329,7,Yes,12,Stanadard,Very High,80,3,17 years ,Better,13,11,1,9
34,No,Travel_Rarely,1153,Research & Development,1 years ,2,Medical,110,Low,Male,94,High,Junior Level,Manufacturing Director,Medium,Married,4325,1,No,15,Stanadard,High,80,0,5 years ,Better,5,2,1,3
56,No,Travel_Rarely,1400,Research & Development,7 years ,3,Life Sciences,112,Very High,Male,49,Low,Senior Level,Manufacturing Director,Very High,Single,7260,4,No,11,Stanadard,Low,80,0,37 years ,Good,6,4,0,2
23,No,Travel_Rarely,541,Sales,2 years ,1,Technical Degree,113,High,Male,62,High,Entry Level,Sales Representative,Low,Divorced,2322,3,No,13,Stanadard,High,80,1,3 years ,Better,0,0,0,0
51,No,Travel_Rarely,432,Research & Development,9 years ,4,Life Sciences,116,Very High,Male,96,High,Entry Level,Laboratory Technician,Very High,Married,2075,3,No,23,High,Medium,80,2,10 years ,Better,4,2,0,3
30,No,Travel_Rarely,288,Research & Development,2 years ,3,Life Sciences,117,High,Male,99,Medium,Junior Level,Healthcare Representative,Very High,Married,4152,1,No,19,Stanadard,Low,80,3,11 years ,Better,11,10,10,8
46,Yes,Travel_Rarely,669,Sales,9 years ,2,Medical,118,High,Male,64,Medium,Senior Level,Sales Executive,Very High,Single,9619,1,No,16,Stanadard,Very High,80,0,9 years ,Better,9,8,4,7
40,No,Travel_Frequently,530,Research & Development,1 years ,4,Life Sciences,119,High,Male,78,Medium,Lead Level,Healthcare Representative,Medium,Married,13503,1,No,22,High,Very High,80,1,22 years ,Good,22,3,11,11
51,No,Travel_Rarely,632,Sales,21 years ,4,Marketing,120,High,Male,71,High,Junior Level,Sales Executive,Very High,Single,5441,0,Yes,22,High,Very High,80,0,11 years ,Bad,10,7,1,0
30,No,Travel_Rarely,1334,Sales,4 years ,2,Medical,121,High,Female,63,Medium,Junior Level,Sales Executive,Medium,Divorced,5209,1,Yes,12,Stanadard,Medium,80,3,11 years ,Good,11,8,2,7
46,No,Travel_Frequently,638,Research & Development,1 years ,3,Medical,124,High,Male,40,Medium,Senior Level,Healthcare Representative,Low,Married,10673,2,Yes,13,Stanadard,High,80,1,21 years ,Good,10,9,9,5
32,No,Travel_Rarely,1093,Sales,6 years ,4,Medical,125,Medium,Male,87,High,Junior Level,Sales Executive,High,Single,5010,1,No,16,Stanadard,Low,80,0,12 years ,Better,11,8,5,7
54,No,Travel_Rarely,1217,Research & Development,2 years ,4,Technical Degree,126,Low,Female,60,High,Senior Level,Research Director,High,Married,13549,9,No,12,Stanadard,Low,80,1,16 years ,Bad,4,3,0,3
24,No,Travel_Rarely,1353,Sales,3 years ,2,Other,128,Low,Female,33,High,Junior Level,Sales Executive,High,Married,4999,0,No,21,High,Low,80,1,4 years ,Good,3,2,0,2
28,No,Non-Travel,120,Sales,4 years ,3,Medical,129,Medium,Male,43,High,Junior Level,Sales Executive,High,Married,4221,1,No,15,Stanadard,Medium,80,0,5 years ,Best,5,4,0,4
58,No,Travel_Rarely,682,Sales,10 years ,4,Medical,131,Very High,Male,37,High,Lead Level,Sales Executive,High,Single,13872,0,No,13,Stanadard,High,80,0,38 years ,Good,37,10,1,8
44,No,Non-Travel,489,Research & Development,23 years ,3,Medical,132,Medium,Male,67,High,Junior Level,Laboratory Technician,Medium,Married,2042,4,No,12,Stanadard,High,80,1,17 years ,Best,3,2,1,2
37,Yes,Travel_Rarely,807,Human Resources,6 years ,4,Human Resources,133,High,Male,63,High,Entry Level,Human Resources,Low,Divorced,2073,4,Yes,22,High,Very High,80,0,7 years ,Better,3,2,0,2
32,No,Travel_Rarely,827,Research & Development,1 years ,1,Life Sciences,134,Very High,Male,71,High,Entry Level,Research Scientist,Low,Single,2956,1,No,13,Stanadard,Very High,80,0,1 years ,Better,1,0,0,0
20,Yes,Travel_Frequently,871,Research & Development,6 years ,3,Life Sciences,137,Very High,Female,66,Medium,Entry Level,Laboratory Technician,Very High,Single,2926,1,Yes,18,Stanadard,Medium,80,0,1 years ,Better,1,0,1,0
34,No,Travel_Rarely,665,Research & Development,6 years ,4,Other,138,Low,Female,41,High,Junior Level,Research Scientist,High,Single,4809,1,No,14,Stanadard,High,80,0,16 years ,Better,16,13,2,10
37,No,Non-Travel,1040,Research & Development,2 years ,2,Life Sciences,139,High,Male,100,Medium,Junior Level,Healthcare Representative,Very High,Divorced,5163,5,No,14,Stanadard,Very High,80,1,17 years ,Best,1,0,0,0
59,No,Non-Travel,1420,Human Resources,2 years ,4,Human Resources,140,High,Female,32,Medium,Director Level,Manager,Very High,Married,18844,9,No,21,High,Very High,80,1,30 years ,Better,3,2,2,2
50,No,Travel_Frequently,1115,Research & Development,1 years ,3,Life Sciences,141,Low,Female,73,High,Director Level,Research Director,Medium,Married,18172,3,Yes,19,Stanadard,Low,80,0,28 years ,Good,8,3,0,7
25,Yes,Travel_Rarely,240,Sales,5 years ,3,Marketing,142,High,Male,46,Medium,Junior Level,Sales Executive,High,Single,5744,1,Yes,11,Stanadard,Very High,80,0,6 years ,Better,6,4,0,3
25,No,Travel_Rarely,1280,Research & Development,7 years ,1,Medical,143,Very High,Male,64,Medium,Entry Level,Research Scientist,Very High,Married,2889,1,No,11,Stanadard,High,80,2,2 years ,Better,2,2,2,1
22,No,Travel_Rarely,534,Research & Development,15 years ,3,Medical,144,Medium,Female,59,High,Entry Level,Laboratory Technician,Very High,Single,2871,1,No,15,Stanadard,High,80,0,1 years ,Better,0,0,0,0
51,No,Travel_Frequently,1456,Research & Development,1 years ,4,Medical,145,Low,Female,30,Medium,Senior Level,Healthcare Representative,Low,Single,7484,3,No,20,High,High,80,0,23 years ,Good,13,12,12,8
34,Yes,Travel_Frequently,658,Research & Development,7 years ,3,Life Sciences,147,Low,Male,66,Low,Junior Level,Laboratory Technician,High,Single,6074,1,Yes,24,High,Very High,80,0,9 years ,Better,9,7,0,6
54,No,Non-Travel,142,Human Resources,26 years ,3,Human Resources,148,Very High,Female,30,Very High,Lead Level,Manager,Very High,Single,17328,2,Yes,12,Stanadard,High,80,0,23 years ,Better,5,3,4,4
24,No,Travel_Rarely,1127,Research & Development,18 years ,1,Life Sciences,150,Medium,Male,52,High,Entry Level,Laboratory Technician,High,Married,2774,0,No,12,Stanadard,High,80,1,6 years ,Better,5,3,1,2
34,No,Travel_Rarely,1031,Research & Development,6 years ,4,Life Sciences,151,High,Female,45,Medium,Junior Level,Research Scientist,Medium,Divorced,4505,6,No,15,Stanadard,High,80,1,12 years ,Better,1,0,0,0
37,No,Travel_Rarely,1189,Sales,3 years ,3,Life Sciences,152,High,Male,87,High,Senior Level,Sales Executive,Very High,Single,7428,2,No,12,Stanadard,Low,80,0,12 years ,Better,5,3,1,3
34,No,Travel_Rarely,1354,Research & Development,5 years ,3,Medical,153,High,Female,45,Medium,Senior Level,Manager,Low,Single,11631,2,No,12,Stanadard,Very High,80,0,14 years ,Better,11,10,5,8
36,No,Travel_Frequently,1467,Sales,11 years ,2,Technical Degree,154,Medium,Female,92,High,Senior Level,Sales Executive,Very High,Married,9738,0,No,14,Stanadard,High,80,1,10 years ,Better,9,7,2,8
36,No,Travel_Rarely,922,Research & Development,3 years ,2,Life Sciences,155,Low,Female,39,High,Entry Level,Laboratory Technician,Very High,Divorced,2835,5,No,22,High,Low,80,1,7 years ,Better,1,0,0,0
43,No,Travel_Frequently,394,Sales,26 years ,2,Life Sciences,158,High,Male,92,High,Lead Level,Manager,Very High,Married,16959,1,Yes,12,Stanadard,Very High,80,2,25 years ,Best,25,12,4,12
30,No,Travel_Frequently,1312,Research & Development,23 years ,3,Life Sciences,159,Low,Male,96,Low,Entry Level,Research Scientist,High,Divorced,2613,1,No,25,High,High,80,3,10 years ,Good,10,7,0,9
33,No,Non-Travel,750,Sales,22 years ,2,Marketing,160,High,Male,95,High,Junior Level,Sales Executive,Medium,Married,6146,0,No,13,Stanadard,Low,80,1,8 years ,Best,7,7,0,7
56,Yes,Travel_Rarely,441,Research & Development,14 years ,4,Life Sciences,161,Medium,Female,72,High,Entry Level,Research Scientist,Medium,Married,4963,9,Yes,18,Stanadard,Low,80,3,7 years ,Better,5,4,4,3
51,No,Travel_Rarely,684,Research & Development,6 years ,3,Life Sciences,162,Low,Male,51,High,Director Level,Research Director,High,Single,19537,7,No,13,Stanadard,High,80,0,23 years ,Better,20,18,15,15
31,Yes,Travel_Rarely,249,Sales,6 years ,4,Life Sciences,163,Medium,Male,76,Low,Junior Level,Sales Executive,High,Married,6172,4,Yes,18,Stanadard,Medium,80,0,12 years ,Good,7,7,7,7
26,No,Travel_Rarely,841,Research & Development,6 years ,3,Other,164,High,Female,46,Medium,Entry Level,Research Scientist,Medium,Married,2368,1,No,19,Stanadard,High,80,0,5 years ,Good,5,4,4,3
58,Yes,Travel_Rarely,147,Research & Development,23 years ,4,Medical,165,Very High,Female,94,High,Senior Level,Healthcare Representative,Very High,Married,10312,1,No,12,Stanadard,Very High,80,1,40 years ,Good,40,10,15,6
19,Yes,Travel_Rarely,528,Sales,22 years ,1,Marketing,167,Very High,Male,50,High,Entry Level,Sales Representative,High,Single,1675,1,Yes,19,Stanadard,Very High,80,0,0 years ,Good,0,0,0,0
22,No,Travel_Rarely,594,Research & Development,2 years ,1,Technical Degree,169,High,Male,100,High,Entry Level,Laboratory Technician,Very High,Married,2523,0,No,14,Stanadard,High,80,1,3 years ,Better,2,1,2,1
